category,process,processid,sourceip,destinationip,destinationport,source_file,source_dir,line_number,subnet,organization,country,asn,description
network_termination,Windsurf.exe,8360,192.168.1.48,52.178.17.233,443,network_304_2025-12-28_08-50.log,ready,2838,52.178.17.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,100.50.56.121,443,network_304_2025-12-28_08-50.log,ready,2892,100.50.56.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,100.52.146.135,443,network_304_2025-12-28_08-50.log,ready,2992,100.52.146.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,34.193.36.24,443,network_304_2025-12-28_08-50.log,ready,3050,34.193.36.0/24,AT-88-Z,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,1016,192.168.1.48,3.218.133.144,443,network_304_2025-12-28_08-50.log,ready,3070,3.218.133.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,44.210.223.165,443,network_304_2025-12-28_08-50.log,ready,3090,44.210.223.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_termination,Cursor.exe,11072,192.168.1.48,3.228.241.206,443,network_304_2025-12-28_08-50.log,ready,3217,3.228.241.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,100.52.24.219,443,network_304_2025-12-28_08-50.log,ready,3284,100.52.24.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,54.152.128.254,443,network_304_2025-12-28_08-50.log,ready,3315,54.152.128.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,1016,192.168.1.48,54.235.80.122,443,network_304_2025-12-28_08-50.log,ready,3328,54.235.80.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,100.52.75.221,443,network_304_2025-12-28_08-50.log,ready,3384,100.52.75.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,100.52.3.237,443,network_304_2025-12-28_08-50.log,ready,3398,100.52.3.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,13.223.24.180,443,network_304_2025-12-28_08-50.log,ready,3446,13.223.24.0/24,Microsoft Corporation,US,AS8075,Microsoft Azure
network_connection,Cursor.exe,11072,192.168.1.48,52.7.79.38,443,network_304_2025-12-28_08-50.log,ready,3476,52.7.79.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,34.235.179.121,443,network_304_2025-12-28_08-50.log,ready,3505,34.235.179.0/24,AT-88-Z,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,23.22.5.222,443,network_304_2025-12-28_08-50.log,ready,3522,23.22.5.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,18.209.223.38,443,network_304_2025-12-28_08-50.log,ready,3558,18.209.223.0/24,AT-88-Z,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,100.48.108.41,443,network_304_2025-12-28_08-50.log,ready,3565,100.48.108.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,54.235.205.77,443,network_304_2025-12-28_08-50.log,ready,3602,54.235.205.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,54.88.85.135,443,network_304_2025-12-28_08-50.log,ready,3610,54.88.85.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,98.94.217.169,443,network_304_2025-12-28_08-50.log,ready,3628,98.94.217.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,100.52.132.157,443,network_304_2025-12-28_08-50.log,ready,3662,100.52.132.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,100.51.209.230,443,network_304_2025-12-28_08-50.log,ready,3684,100.51.209.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,100.50.132.124,443,network_304_2025-12-28_08-50.log,ready,3708,100.50.132.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,3.208.41.204,443,network_304_2025-12-28_08-50.log,ready,3722,3.208.41.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,100.51.41.151,443,network_304_2025-12-28_08-50.log,ready,3749,100.51.41.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,54.210.228.208,443,network_304_2025-12-28_08-50.log,ready,3795,54.210.228.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,100.26.120.153,443,network_304_2025-12-28_08-50.log,ready,3807,100.26.120.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,44.209.54.114,443,network_304_2025-12-28_08-50.log,ready,3835,44.209.54.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,1016,192.168.1.48,34.236.182.185,443,network_304_2025-12-28_08-50.log,ready,3847,34.236.182.0/24,AT-88-Z,US,AS14618,"AMAZON-AES, US"
